year released,artist_name,artist_ID,album_ID,track_name,track_id,popularity,key,mode,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,artist_genre
2011,Grouplove,3kVUvbeRdcrqQ3oHk5hPdx,3oylWMc9TTC6Nx4I6U3axc,Tongue Tied,0GO8y8jQk1PkHzS31d699N,81,3,1,0.00847,0.56,0.936,0.0,0.161,-5.835,0.0439,112.96,4,"['indie pop', 'indie rock', 'indietronica', 'la indie', 'modern alternative rock', 'modern rock', 'rock', 'stomp and holler']"
2011,Midnight Oil,72KyoXzp0NOQij6OcmZUxk,4C3raKL0dzfTitM3YtqN1S,Forgotten Years - 2011 Remaster,6PrbbxJFuwDUUcgEjZW0jr,47,11,0,0.0149,0.497,0.964,2.07e-06,0.119,-2.653,0.0703,152.178,4,"['australian alternative rock', 'australian rock', 'dance rock', 'rock']"
2011,Christina Perri,7H55rcKCfwqkyDFH9wpKM6,15yvc643iYfQtb6zh9NEJo,A Thousand Years,6lanRgr6wXibZr8KgzXxBl,80,10,1,0.309,0.421,0.407,0.000961,0.11,-7.445,0.0267,139.028,3,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']"
2011,Anthem Lights,7kwEvDE8e7EBGKh5bLczqQ,4iyn5H88RVqMJcbuCygfkw,Best of 2011: Just the Way You Are / For the First Time / Someone Like You / Superbass / Grenade / Without You,65bcYKY0QzlXILxVuWspdT,49,4,1,0.741,0.418,0.343,0.0,0.113,-7.492,0.0339,121.805,4,"['ccm', 'christian alternative rock', 'christian music', 'viral pop']"
2011,Foster The People,7gP3bB2nilZXLfPHJhMdvc,7Kmmw7Z5D2UD5MVwdm10sT,Pumped Up Kicks,7w87IxuO7BDcJ3YUqCyMTT,83,5,0,0.145,0.733,0.71,0.115,0.0956,-5.849,0.0292,127.975,4,"['indie pop', 'indietronica', 'modern alternative rock', 'modern rock', 'pop', 'rock']"
2011,Schoolgirl Byebye,6kfcndVsu8F9Y5gL5xc717,5gWxh24iphqQ8WDh8MBMfe,"Year,2015",0UsmyJDsst2xhX1ZiFF3JW,20,9,1,0.969,0.314,0.0855,0.795,0.16,-15.775,0.0342,69.893,3,"['chinese indie', 'sinogaze', 'southern china indie']"
2011,Gotye,2AsusXITU8P25dlRNhcAbG,1HjSyGjmLNjRAKgT9t1cna,Somebody That I Used To Know,4wCmqSrbyCgxEXROQE6vtV,76,0,1,0.591,0.864,0.495,0.000133,0.0992,-7.036,0.037,129.062,4,['australian pop']
2011,Banc Champagne,7gSocE8DgBdhGoYCw3Tlug,59Gi0M71OqZWV0fJ01Z5QM,New Year 2021,0QdTYExlsPJxj1lkPVwNMg,36,4,0,0.242,0.724,0.466,0.0134,0.102,-9.26,0.164,89.922,4,['NaN']
2011,Gym Class Heroes,4IJczjB0fJ04gs4uvP0Fli,2mumCpGmuE9iDeOvMx6XrB,Stereo Hearts (feat. Adam Levine),0qOnSQQF0yzuPWsXrQ9paz,81,9,1,0.0319,0.646,0.795,0.0,0.267,-3.293,0.0976,89.99,4,"['dance pop', 'pop rap']"
2011,Queen,1dfeR4HaWDbWqFHLkxsg1d,6QYnikkyKvjmFtTiZVeCW7,One Year Of Love - Remastered 2011,59rzNNiQISFeH3ktzhyOjr,30,11,0,0.281,0.588,0.364,0.000631,0.356,-8.542,0.0258,110.986,3,"['classic rock', 'glam rock', 'rock']"
2011,Adele,4dpARuHxo51G3z768sgnrY,5duyQokC4FMcWPYTV9Gpf9,Someone Like You,3bNv3VuUOKgrf5hu3YcuRo,79,9,1,0.893,0.556,0.319,0.0,0.0996,-8.251,0.0281,135.187,4,"['british soul', 'pop', 'pop soul', 'uk pop']"
2011,The Kiboomers,1qKLikeNYpQFSsDAjg7HpI,73QnTQ25dx7JJuwpYkRnzu,The Months of the Year - 2014 Version,58lQgf1Y5gRJRr6S0Nwp50,31,2,1,0.843,0.903,0.262,0.0,0.109,-12.528,0.081,95.098,4,"[""children's music"", 'music box']"
2011,JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,2P2Xwvh2xWXIZ1OWY9S9o5,Ni**as In Paris,4Li2WHPkuyCdtmokzW2007,80,1,1,0.127,0.789,0.858,0.0,0.349,-5.542,0.311,140.022,4,"['east coast hip hop', 'hip hop', 'pop rap', 'rap']"
2011,Sugarland,0hYxQe3AK5jBPCr5MumLHD,1SB9SD66SM04dm8wZdLatY,"Tonight I'll Be Staying Here With You - Live From The New York State Fair, Syracuse/2011",66WngVv3wsuvS91H8v8BH4,23,10,1,0.339,0.357,0.932,0.00216,0.975,-3.253,0.0594,91.099,4,"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']"
2011,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,0fhmJYVhW0e4i33pCLPA5i,Work Out,2wAJTrFhCnQyNSD3oUgTZO,79,2,1,0.0531,0.831,0.427,0.0,0.307,-6.903,0.106,93.004,4,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
